Date,Name_of_State_UT,Cured_Discharged_Migrated,Death,Death_Rise,Total_Confirmed_Cases,Total_Confirmed_Cases_Rise
9-May-20,Maharashtra,3470,731,0.05,19063,0.06
8-May-20,Maharashtra,3301,694,0.06,17974,0.07
7-May-20,Maharashtra,3094,651,0.05,16758,0.07
6-May-20,Maharashtra,2819,617,0.06,15525,0.06
5-May-20,Maharashtra,2465,583,0.06,14541,0.11
4-May-20,Maharashtra,2115,548,0.05,12974,0.05
3-May-20,Maharashtra,2000,521,0.07,12296,0.06
2-May-20,Maharashtra,1879,485,0.05,11506,0.09
1-May-20,Maharashtra,1773,459,0.06,10498,0.06
30-Apr-20,Maharashtra,1593,432,0.07,9915,0.06
29-Apr-20,Maharashtra,1388,400,0.08,9318,0.08
28-Apr-20,Maharashtra,1282,369,0.07,8590,0.06
27-Apr-20,Maharashtra,1076,342,0.06,8068,0.05
26-Apr-20,Maharashtra,1076,323,0.07,7628,0.11
25-Apr-20,Maharashtra,840,301,0.06,6817,0.06
24-Apr-20,Maharashtra,840,283,0.05,6430,0.12
23-Apr-20,Maharashtra,789,269,0.07,5652,0.08
22-Apr-20,Maharashtra,722,251,0.08,5218,0.11
21-Apr-20,Maharashtra,572,232,0.04,4666,0.10
20-Apr-20,Maharashtra,507,223,0.05,4203,0.13
19-Apr-20,Maharashtra,365,211,0.05,3651,0.09
18-Apr-20,Maharashtra,331,201,0.03,3323,0.04
17-Apr-20,Maharashtra,300,194,0.04,3205,0.09
16-Apr-20,Maharashtra,295,187,0.05,2916,0.08
15-Apr-20,Maharashtra,259,178,0.10,2687,0.13
14-Apr-20,Maharashtra,229,160,0.07,2337,0.15
13-Apr-20,Maharashtra,217,149,0.15,1985,0.11
12-Apr-20,Maharashtra,208,127,0.13,1761,0.11
11-Apr-20,Maharashtra,188,110,0.12,1574,0.13
10-Apr-20,Maharashtra,125,97,0.26,1364,0.17
9-Apr-20,Maharashtra,117,72,0.11,1135,0.10
8-Apr-20,Maharashtra,79,64,0.30,1018,0.27
7-Apr-20,Maharashtra,56,45,0.00,748,0.08
6-Apr-20,Maharashtra,42,45,0.47,690,0.29
5-Apr-20,Maharashtra,42,24,0.21,490,0.14
4-Apr-20,Maharashtra,42,19,0.16,423,0.21
3-Apr-20,Maharashtra,42,16,0.19,335,0.00
2-Apr-20,Maharashtra,42,13,0.31,335,0.10
1-Apr-20,Maharashtra,39,9,0.00,302,0.28
31-Mar-20,Maharashtra,39,9,0.11,216,0.11
30-Mar-20,Maharashtra,25,8,0.25,193,0.04
29-Mar-20,Maharashtra,25,6,0.17,186,0.03
28-Mar-20,Maharashtra,25,5,0.20,180,0.28
27-Mar-20,Maharashtra,15,4,0.25,130,0.05
26-Mar-20,Maharashtra,1,3,0.00,124,0.03
25-Mar-20,Maharashtra,1,3,0.33,128,0.30
24-Mar-20,Maharashtra,0,2,0.00,89,0.17
23-Mar-20,Maharashtra,0,2,0.00,74,0.09
22-Mar-20,Maharashtra,0,2,0.50,67,0.06
21-Mar-20,Maharashtra,0,1,0.00,63,0.25
20-Mar-20,Maharashtra,0,1,0.00,47,0.00
19-Mar-20,Maharashtra,0,1,0.00,47,0.11
18-Mar-20,Maharashtra,0,1,0.00,42,0.07
17-Mar-20,Maharashtra,0,1,1.00,39,0.18
16-Mar-20,Maharashtra,0,0,,32,0.00
15-Mar-20,Maharashtra,0,0,,32,0.56
14-Mar-20,Maharashtra,0,0,,14,0.21
13-Mar-20,Maharashtra,0,0,,11,0.00
12-Mar-20,Maharashtra,0,0,,11,0.09
11-Mar-20,Maharashtra,0,0,,10,0.50
10-Mar-20,Maharashtra,0,0,,5,0.60
9-Mar-20,Maharashtra,0,0,,2,
